2024-03-27_14-37-03_remote-1spatial maze.txt,id1=15,id2=4,01:48:12
2024-03-27_14-39-16,-27.40109,-43.84234,65.93789,5
2024-03-27_14-39-17,-27.09136,-43.73846,70.18482,5
2024-03-27_14-39-17,-26.55875,-43.6909,73.41331,5
2024-03-27_14-39-18,-25.8672,-43.62296,76.79635,6
2024-03-27_14-39-18,-25.56529,-43.54842,76.72385,5
2024-03-27_14-39-19,-25.0736,-43.43963,76.67256,6
2024-03-27_14-39-19,-24.19825,-43.52564,86.3394,6
2024-03-27_14-39-20,-23.68028,-43.89663,111.2998,7
2024-03-27_14-39-20,-23.19708,-44.52261,108.8626,6
2024-03-27_14-39-21,-22.9254,-44.6992,104.9073,6
2024-03-27_14-39-21,-22.50047,-45.04499,109.1257,7
2024-03-27_14-39-22,-22.02414,-45.41333,100.7622,5
2024-03-27_14-39-22,-21.56202,-45.66206,90.89397,6
2024-03-27_14-39-23,-20.85556,-45.94974,88.87141,5
2024-03-27_14-39-23,-20.45734,-46.20717,83.6116,5
2024-03-27_14-39-24,-19.80493,-46.23119,78.17853,5
2024-03-27_14-39-24,-19.07987,-46.23499,73.79306,6
2024-03-27_14-39-25,-17.73311,-46.22857,74.12751,3
2024-03-27_14-39-25,-17.12086,-46.27126,71.84715,4
2024-03-27_14-39-26,-16.03281,-46.20467,69.66187,4
2024-03-27_14-39-26,-15.1114,-46.1144,63.77937,5
2024-03-27_14-39-27,-13.73821,-45.89809,47.4759,2
2024-03-27_14-39-27,-13.37858,-45.26336,23.17405,2
2024-03-27_14-39-28,-13.1853,-44.63453,14.90905,4
2024-03-27_14-39-28,-13.06733,-44.08607,20.1415,3
2024-03-27_14-39-29,-12.83887,-43.46777,28.15001,2
2024-03-27_14-39-29,-12.52564,-42.70505,28.95395,1
2024-03-27_14-39-30,-12.26533,-42.09747,32.16299,1
2024-03-27_14-39-30,-12.01614,-41.62592,30.33633,1
2024-03-27_14-39-31,-11.87165,-41.63015,61.91034,1
2024-03-27_14-39-31,-11.78378,-41.68563,92.90855,1
2024-03-27_14-39-32,-11.44341,-41.87025,91.1288,2
2024-03-27_14-39-32,-10.73466,-42.17266,88.11448,2
2024-03-27_14-39-33,-9.841584,-42.38607,82.94816,2
2024-03-27_14-39-33,-8.706526,-42.48355,76.4893,2
2024-03-27_14-39-34,-7.829212,-42.52637,85.14272,2
2024-03-27_14-39-34,-7.381785,-42.68965,91.91074,0
2024-03-27_14-39-35,-6.708001,-42.88123,92.47959,0
2024-03-27_14-39-35,-5.214162,-43.40177,90.93368,0
2024-03-27_14-39-36,-4.16517,-43.60733,93.42216,0
2024-03-27_14-39-36,-3.683776,-43.84499,100.5138,0
