2024-03-26_12-35-13_remote-2haptics maze.txt,id1=25,id2=24,04:28:41
2024-03-26_12-39-55,22.00284,-27.6343,1.273896,3
2024-03-26_12-39-56,22.01483,-27.63507,0.4758636,4
2024-03-26_12-39-57,22.01581,-27.64235,1.60352,4
2024-03-26_12-39-58,21.86877,-27.68528,4.434186,3
2024-03-26_12-39-59,19.08475,-27.03178,16.95638,4
2024-03-26_12-40-00,18.37404,-25.0886,18.21584,3
2024-03-26_12-40-01,17.79746,-22.97564,19.40067,5
2024-03-26_12-40-02,17.24938,-19.43236,20.19717,5
2024-03-26_12-40-03,17.19856,-18.86819,21.91538,5
2024-03-26_12-40-04,17.07265,-14.43269,22.68471,2
2024-03-26_12-40-05,17.00022,-11.94551,22.43067,4
2024-03-26_12-40-06,17.21546,-11.95332,41.73047,4
2024-03-26_12-40-08,18.76679,-12.17661,47.98466,4
2024-03-26_12-40-09,21.83994,-12.89836,53.76868,3
2024-03-26_12-40-10,22.02715,-12.91711,63.54511,4
2024-03-26_12-40-11,24.31651,-17.52356,56.58195,3
2024-03-26_12-40-12,27.03064,-18.77704,24.03115,2
2024-03-26_12-40-13,27.10216,-18.74176,27.30119,2
2024-03-26_12-40-14,27.06838,-18.65448,26.8203,3
2024-03-26_12-40-15,28.93057,-13.79567,18.41051,4
2024-03-26_12-40-16,28.97595,-13.1294,7.210073,3
2024-03-26_12-40-17,27.96622,-11.75746,11.63105,3
2024-03-26_12-40-18,23.72428,-7.88194,354.4465,4
2024-03-26_12-40-19,19.07049,-8.024714,358.1741,3
2024-03-26_12-40-20,13.90922,-9.139505,78.71933,4
2024-03-26_12-40-21,13.33487,-10.42639,77.82108,7
2024-03-26_12-40-22,13.19215,-11.1305,73.00328,7
2024-03-26_12-40-23,12.79897,-13.13175,73.73322,5
2024-03-26_12-40-24,12.29969,-15.99576,74.38885,5
2024-03-26_12-40-25,11.5583,-18.58107,76.26612,6
2024-03-26_12-40-26,11.62027,-19.33761,73.27598,6
2024-03-26_12-40-27,11.51729,-21.15436,353.0289,7
2024-03-26_12-40-28,11.50507,-21.20014,358.9219,5
2024-03-26_12-40-29,11.46953,-21.43835,358.8754,6
2024-03-26_12-40-30,11.4034,-21.9267,0.9844181,6
2024-03-26_12-40-31,7.848758,-22.11644,13.65099,7
2024-03-26_12-40-32,7.10992,-20.63374,18.29048,6
2024-03-26_12-40-33,6.520134,-16.33563,18.5118,6
2024-03-26_12-40-34,5.651503,-13.99621,357.5178,5
2024-03-26_12-40-35,4.280666,-14.5011,351.6641,3
2024-03-26_12-40-36,1.816368,-15.6895,350.8287,5
2024-03-26_12-40-37,1.459335,-16.21894,345.4604,4
2024-03-26_12-40-38,0.6420999,-17.45145,349.9065,4
2024-03-26_12-40-39,-1.911703,-16.73459,10.05558,5
2024-03-26_12-40-40,-2.14801,-16.31764,19.09545,6
2024-03-26_12-40-41,-4.288442,-12.9324,353.8088,3
2024-03-26_12-40-42,-6.419016,-13.41463,355.1306,3
2024-03-26_12-40-43,-8.402154,-15.17576,345.8008,4
2024-03-26_12-40-44,-8.452015,-16.42169,344.0051,4
2024-03-26_12-40-45,-8.562449,-16.66444,357.0653,3
2024-03-26_12-40-46,-8.530181,-16.75431,2.92048,3
2024-03-26_12-40-47,-8.467437,-16.58405,20.39803,3
2024-03-26_12-40-48,-8.472542,-14.14062,20.90761,2
2024-03-26_12-40-49,-8.406144,-12.72206,22.11451,1
2024-03-26_12-40-50,-8.416059,-9.562471,17.08299,1
2024-03-26_12-40-52,-7.796151,-7.461166,39.11455,2
2024-03-26_12-40-53,-7.640021,-7.214747,23.52443,2
2024-03-26_12-40-54,-7.602308,-7.160372,33.84958,2
2024-03-26_12-40-55,-5.075661,-7.143231,46.57425,2
2024-03-26_12-40-56,-2.509995,-7.081315,41.36151,1
2024-03-26_12-40-57,-0.6956905,-7.02068,33.33659,3
2024-03-26_12-40-58,1.365741,-6.969426,30.75523,3
2024-03-26_12-40-59,2.169504,-5.435844,12.11687,2
2024-03-26_12-41-00,2.292829,-4.762686,25.32921,2
2024-03-26_12-41-01,2.928598,-2.146061,21.52641,4
2024-03-26_12-41-02,2.746338,-0.5466404,34.49451,3
2024-03-26_12-41-03,2.754606,-0.3336153,32.09154,3
2024-03-26_12-41-04,5.57837,2.979686,26.7047,3
2024-03-26_12-41-05,5.998884,3.055117,19.00307,3
2024-03-26_12-41-06,6.686612,6.910678,1.865653,2
2024-03-26_12-41-07,5.128787,8.013397,22.33407,2
2024-03-26_12-41-08,5.876808,8.020317,22.24181,1
2024-03-26_12-41-09,7.198246,10.50016,21.77146,1
2024-03-26_12-41-10,5.948455,12.88088,356.4459,1
2024-03-26_12-41-11,-0.09237832,12.9326,3.071749,1
2024-03-26_12-41-12,-3.245115,14.92478,33.69186,1
2024-03-26_12-41-13,-3.273804,14.988,37.68822,2
2024-03-26_12-41-14,-1.306997,16.42256,42.32242,3
2024-03-26_12-41-15,0.8464776,17.25122,44.90791,2
2024-03-26_12-41-16,1.713507,17.1016,66.07067,2
2024-03-26_12-41-17,3.133505,16.06313,34.2074,5
2024-03-26_12-41-18,3.200386,16.09659,24.34002,5
2024-03-26_12-41-19,3.028565,17.18474,359.0179,5
2024-03-26_12-41-20,2.151744,17.12278,350.2175,4
2024-03-26_12-41-21,2.089744,17.02817,343.5004,4
2024-03-26_12-41-22,2.097891,17.06785,340.2344,4
2024-03-26_12-41-23,2.108983,17.06952,341.7442,4
2024-03-26_12-41-24,2.113073,17.07288,343.7954,3
2024-03-26_12-41-25,1.937693,16.60872,88.97058,3
2024-03-26_12-41-26,1.844119,16.54792,357.1974,3
2024-03-26_12-41-27,1.889018,16.57745,8.991375,3
2024-03-26_12-41-28,1.914202,17.21251,28.56157,2
2024-03-26_12-41-29,3.094223,17.87731,37.58818,3
2024-03-26_12-41-30,4.511225,17.90503,31.79065,3
2024-03-26_12-41-31,6.242985,18.1313,19.50333,1
2024-03-26_12-41-32,6.929761,19.15038,29.79794,1
2024-03-26_12-41-33,8.62604,21.18862,44.0219,1
2024-03-26_12-41-34,9.985337,21.37408,53.51018,3
2024-03-26_12-41-35,11.57375,21.28375,50.01499,3
2024-03-26_12-41-36,16.18637,20.5774,56.02251,4
2024-03-26_12-41-37,17.72223,19.58395,56.04665,3
2024-03-26_12-41-38,17.8087,19.63065,48.74956,3
2024-03-26_12-41-39,17.82732,19.94418,18.03399,3
2024-03-26_12-41-40,17.44658,20.58686,11.16305,3
2024-03-26_12-41-41,17.4581,20.61087,20.25001,3
2024-03-26_12-41-42,17.4531,20.621,14.07994,3
2024-03-26_12-41-43,17.09094,20.64864,354.8772,0
2024-03-26_12-41-44,15.72017,20.85273,354.0953,0
2024-03-26_12-41-45,13.1163,21.21255,358.2047,0
2024-03-26_12-41-46,13.12022,21.50148,28.79513,0
2024-03-26_12-41-47,13.79041,22.34184,42.25955,0
2024-03-26_12-41-48,13.68332,22.35339,52.44861,0
2024-03-26_12-41-50,13.74845,22.28532,49.31682,0
2024-03-26_12-41-51,14.28591,22.16953,50.29397,0
2024-03-26_12-41-52,14.29282,22.16179,50.0317,0
2024-03-26_12-41-53,14.06954,23.1807,30.7,0
2024-03-26_12-41-54,14.06954,23.1807,30.7,0
2024-03-26_12-41-55,14.06954,23.1807,30.7,0
2024-03-26_12-41-56,14.06954,23.1807,30.7,0
2024-03-26_12-41-57,14.06954,23.1807,30.7,0
2024-03-26_12-41-58,14.06954,23.1807,30.7,0
2024-03-26_12-41-59,14.06954,23.1807,30.7,0
2024-03-26_12-42-00,14.06954,23.1807,30.7,0
2024-03-26_12-42-01,14.06954,23.1807,30.69999,0
