2024-03-27_11-30-57_player-2spatial maze.txt,id1=12,id2=21,3:46:28,WRONG MODE FAILURE
2024-03-27_11-33-57,9.219017,-46.00072,100.4004,4
2024-03-27_11-33-57,9.886203,-46.37218,96.04412,4
2024-03-27_11-33-58,10.2074,-46.53528,92.67722,4
2024-03-27_11-33-58,10.32646,-46.5733,81.89877,4
2024-03-27_11-33-59,10.40581,-46.55833,70.06623,3
2024-03-27_11-33-59,10.49641,-46.50307,57.90155,2
2024-03-27_11-34-00,10.96053,-46.27107,45.2131,2
2024-03-27_11-34-00,11.65032,-46.26146,37.53763,2
2024-03-27_11-34-01,11.84571,-46.16836,34.9304,2
2024-03-27_11-34-01,12.46778,-45.5873,35.87753,2
2024-03-27_11-34-02,12.8508,-45.16816,38.07957,2
2024-03-27_11-34-02,13.03966,-44.96481,40.38618,2
2024-03-27_11-34-03,13.61015,-44.48367,46.58422,2
2024-03-27_11-34-03,14.72991,-43.66849,51.91484,2
2024-03-27_11-34-04,15.64374,-43.15348,56.77264,3
2024-03-27_11-34-04,15.87049,-43.06117,62.29184,3
2024-03-27_11-34-05,15.97785,-43.03601,66.15767,3
2024-03-27_11-34-05,16.43867,-42.98647,72.29061,4
2024-03-27_11-34-06,16.55748,-42.99801,83.82835,3
2024-03-27_11-34-06,16.60236,-43.04881,96.82031,3
2024-03-27_11-34-07,16.78977,-43.20757,105.6004,3
2024-03-27_11-34-07,16.92672,-43.3709,110.4597,3
2024-03-27_11-34-08,16.9437,-43.41853,112.1696,3
2024-03-27_11-34-08,17.38048,-44.00072,113.5246,5
2024-03-27_11-34-09,17.66368,-44.36605,113.4558,6
2024-03-27_11-34-09,17.85771,-44.61625,113.9448,6
2024-03-27_11-34-10,18.24395,-45.11235,109.2358,6
2024-03-27_11-34-10,18.4713,-45.34728,108.3871,6
2024-03-27_11-34-11,18.76875,-45.62386,105.5604,5
2024-03-27_11-34-11,19.09195,-45.87906,100.0284,4
2024-03-27_11-34-12,19.54799,-46.13134,86.31314,4
2024-03-27_11-34-12,19.99255,-46.20583,77.07095,5
2024-03-27_11-34-13,20.18342,-46.29465,72.6603,4
2024-03-27_11-34-13,20.38424,-46.36525,72.99911,4
2024-03-27_11-34-14,20.96699,-46.40551,77.81486,3
2024-03-27_11-34-14,21.98267,-46.48093,77.84473,3
2024-03-27_11-34-15,22.17689,-46.49068,78.29132,3
2024-03-27_11-34-15,23.1109,-46.56952,77.05279,3
2024-03-27_11-34-16,24.02856,-46.63307,76.07693,3
2024-03-27_11-34-16,24.84753,-46.68497,76.91326,5
2024-03-27_11-34-17,26.44842,-46.81665,76.6275,7
2024-03-27_11-34-17,28.42661,-46.946,74.2206,5
2024-03-27_11-34-18,29.30909,-46.95605,70.03094,6
2024-03-27_11-34-18,30.17506,-46.80135,62.08154,6
2024-03-27_11-34-19,30.61831,-46.7167,67.564,6
2024-03-27_11-34-20,31.56928,-46.6163,71.02943,6
2024-03-27_11-34-20,32.09171,-46.57939,73.02072,5
2024-03-27_11-34-21,33.06361,-46.53161,71.87161,4
2024-03-27_11-34-21,34.43845,-46.42639,70.11884,6
2024-03-27_11-34-22,35.58047,-46.32602,66.86714,7
2024-03-27_11-34-22,36.85089,-46.27716,65.33271,5
2024-03-27_11-34-23,37.46684,-46.15952,63.80779,5
2024-03-27_11-34-23,37.52655,-46.13146,55.61672,5
2024-03-27_11-34-24,37.52183,-46.10139,45.19835,5
2024-03-27_11-34-24,37.80476,-45.79568,39.06489,5
2024-03-27_11-34-25,38.44228,-45.10559,39.86584,6
2024-03-27_11-34-25,39.08882,-44.4489,44.2356,5
2024-03-27_11-34-26,39.22502,-44.34171,47.83053,5
2024-03-27_11-34-26,39.46756,-44.20162,53.97477,5
2024-03-27_11-34-27,39.95319,-43.8401,63.02209,6
2024-03-27_11-34-27,40.00142,-43.80727,69.32867,6
2024-03-27_11-34-28,40.09935,-43.80077,77.74938,6
2024-03-27_11-34-28,41.16152,-43.69608,84.41426,5
2024-03-27_11-34-29,43.05587,-43.90939,89.12247,5
2024-03-27_11-34-29,43.31912,-43.96905,95.5989,5
2024-03-27_11-34-30,43.33305,-44.00302,107.1998,6
2024-03-27_11-34-30,43.46177,-44.21714,112.2104,6
2024-03-27_11-34-31,43.51008,-44.34772,125.8275,6
2024-03-27_11-34-31,43.58263,-44.55632,124.0045,6
2024-03-27_11-34-32,43.8909,-45.25433,124.775,6
2024-03-27_11-34-32,43.97094,-45.43032,121.5408,6
2024-03-27_11-34-33,44.0873,-45.63671,119.0769,6
2024-03-27_11-34-33,44.4335,-46.20147,117.0738,6
2024-03-27_11-34-34,45.04069,-47.02425,110.0445,7
2024-03-27_11-34-34,45.23547,-47.22796,108.6595,7
2024-03-27_11-34-35,45.27289,-47.23305,100.2801,7
2024-03-27_11-34-35,45.31875,-47.22306,89.82109,6
2024-03-27_11-34-36,45.47894,-47.18558,73.54061,6
2024-03-27_11-34-36,45.82999,-47.08517,60.43989,5
2024-03-27_11-34-37,46.34924,-46.85398,50.0615,6
2024-03-27_11-34-37,47.17653,-45.99545,35.65363,6
2024-03-27_11-34-38,48.2545,-44.43614,22.84692,6
2024-03-27_11-34-38,48.42588,-44.00227,14.73028,7
2024-03-27_11-34-39,48.44003,-43.96043,12.16978,8
2024-03-27_11-34-39,48.41951,-43.94549,6.621288,8
2024-03-27_11-34-40,48.40574,-43.86853,3.227163,8
2024-03-27_11-34-40,48.3982,-43.84304,359.0469,8
