2024-03-27_12-22-22_player-2spatial maze.txt,id1=2,id2=3,01:10:83,FAILURE *
2024-03-27_12-23-15,34.06369,47.76845,222.9364,14
2024-03-27_12-23-15,33.74573,46.86668,152.0335,14
2024-03-27_12-23-16,33.64693,46.66023,155.0421,14
2024-03-27_12-23-16,33.62851,46.51281,150.8378,12
2024-03-27_12-23-17,33.4319,44.97421,143.6311,10
2024-03-27_12-23-17,33.30941,43.53212,140.8928,13
2024-03-27_12-23-18,33.27005,42.7834,119.1211,16
2024-03-27_12-23-18,33.39679,41.25651,137.7572,16
2024-03-27_12-23-19,33.682,40.13981,121.6248,16
2024-03-27_12-23-19,33.99525,39.16724,99.05849,14
2024-03-27_12-23-20,35.1798,38.30027,80.46988,16
2024-03-27_12-23-20,35.54452,38.33091,50.67194,16
2024-03-27_12-23-21,36.0353,38.82244,34.48652,16
2024-03-27_12-23-21,36.90497,38.98817,76.31393,15
2024-03-27_12-23-22,37.84449,38.8241,82.98051,14
2024-03-27_12-23-22,38.97758,38.67557,77.95506,14
2024-03-27_12-23-23,40.5639,38.70634,68.07869,15
2024-03-27_12-23-23,41.6052,38.87572,53.75993,15
2024-03-27_12-23-24,42.27447,39.51903,28.17935,16
2024-03-27_12-23-24,42.99982,40.40593,48.14191,17
2024-03-27_12-23-25,44.00282,40.81814,74.82861,17
2024-03-27_12-23-25,43.9917,40.93261,67.6871,17
2024-03-27_12-23-26,44.77821,41.95988,51.9933,17
2024-03-27_12-23-26,45.30572,42.07546,104.5177,16
2024-03-27_12-23-27,45.77055,41.38645,130.7074,15
2024-03-27_12-23-27,46.44645,41.02012,137.2536,15
2024-03-27_12-23-28,46.51608,40.88087,139.9758,15
2024-03-27_12-23-28,46.47715,40.3831,144.7753,15
2024-03-27_12-23-29,46.44929,39.68347,145.4659,18
2024-03-27_12-23-29,46.40625,39.11258,142.4893,19
2024-03-27_12-23-30,46.43478,37.84859,141.6132,19
2024-03-27_12-23-30,46.4364,36.45379,141.9889,13
2024-03-27_12-23-31,46.36982,34.91027,145.0283,15
