2024-03-27_12-22-22_remote-1spatial maze.txt,id1=2,id2=3,01:10:83,FAILURE *
2024-03-27_12-24-36,-32.36319,-0.4320993,5.555629,12
2024-03-27_12-24-37,-32.33126,-0.2866563,21.66195,11
2024-03-27_12-24-37,-32.29193,-0.3361839,74.74805,11
2024-03-27_12-24-38,-32.37691,-0.2454441,26.00022,10
2024-03-27_12-24-38,-32.41339,-0.05200502,10.25826,10
2024-03-27_12-24-39,-32.39579,0.1805909,10.70364,10
2024-03-27_12-24-39,-32.37991,0.2996677,9.494515,10
2024-03-27_12-24-40,-32.34944,0.4247825,8.176214,10
2024-03-27_12-24-40,-32.3751,0.4870338,9.827786,10
2024-03-27_12-24-41,-32.41351,0.695172,9.191778,10
2024-03-27_12-24-41,-32.44807,1.113952,9.331878,11
2024-03-27_12-24-42,-32.42202,1.211094,5.440899,10
2024-03-27_12-24-42,-32.41286,1.410209,0.7779852,11
2024-03-27_12-24-43,-32.45055,1.582491,0.6920661,11
2024-03-27_12-24-43,-32.50765,1.689165,2.103801,11
2024-03-27_12-24-44,-32.59954,1.907921,3.946614,11
2024-03-27_12-24-44,-32.59283,2.076067,5.821608,10
2024-03-27_12-24-45,-32.54999,2.331768,5.346057,10
2024-03-27_12-24-45,-32.53905,2.426678,4.360112,9
2024-03-27_12-24-46,-32.59495,2.53088,7.124885,10
2024-03-27_12-24-46,-32.71248,3.114997,5.102567,10
2024-03-27_12-24-47,-32.70858,3.332567,2.431906,9
2024-03-27_12-24-48,-32.69932,3.573066,2.232602,9
2024-03-27_12-24-48,-32.73827,3.898528,0.2423223,9
2024-03-27_12-24-49,-32.80804,3.993505,0.08120417,9
2024-03-27_12-24-49,-32.93614,4.282649,1.33313,9
2024-03-27_12-24-50,-32.94608,4.366958,1.852579,8
2024-03-27_12-24-50,-32.95378,4.583156,356.4194,7
2024-03-27_12-24-51,-32.96182,4.657208,340.1064,6
2024-03-27_12-24-51,-33.06988,4.824297,349.9428,7
2024-03-27_12-24-52,-33.26789,5.047983,338.951,9
2024-03-27_12-24-52,-33.44336,5.266028,323.2907,9
2024-03-27_12-24-53,-33.55305,5.383122,335.8596,9
2024-03-27_12-24-53,-33.55933,5.366202,348.5372,11
2024-03-27_12-24-54,-33.68514,5.523604,341.902,11
2024-03-27_12-24-54,-33.70217,5.545324,334.3491,9
2024-03-27_12-24-55,-33.70284,5.567232,330.7278,10
2024-03-27_12-24-55,-33.76195,5.576885,325.3086,10
2024-03-27_12-24-56,-33.80218,5.563663,340.8329,10
2024-03-27_12-24-56,-33.84219,5.63294,344.3051,10
2024-03-27_12-24-57,-34.00791,5.890964,333.0424,10
2024-03-27_12-24-57,-34.27959,6.023755,315.2683,10
2024-03-27_12-24-58,-34.36576,6.008142,318.0701,10
2024-03-27_12-24-58,-34.42305,6.056805,319.3996,10
2024-03-27_12-24-59,-34.65392,6.148323,318.4613,10
