2024-03-26_11-38-09_remote-1spatial maze.txt,id=23,id=7,04:20:29
2024-03-26_11-41-25,-38.55616,7.4648,126.7116,4
2024-03-26_11-41-26,-38.62857,7.562117,354.6216,4
2024-03-26_11-41-27,-38.64829,7.568154,334.2568,5
2024-03-26_11-41-28,-38.82146,7.636731,299.1207,5
2024-03-26_11-41-29,-38.66273,7.528084,140.4107,5
2024-03-26_11-41-30,-38.58278,7.485117,141.1968,4
2024-03-26_11-41-31,-38.09305,7.411668,137.2947,4
2024-03-26_11-41-32,-36.61436,7.0522,146.2049,4
2024-03-26_11-41-33,-33.95725,6.218237,162.0883,5
2024-03-26_11-41-34,-33.90416,6.186364,185.3903,3
2024-03-26_11-41-35,-33.62162,5.500922,180.3999,3
2024-03-26_11-41-36,-32.65507,3.293675,181.1447,3
2024-03-26_11-41-37,-31.88986,1.624431,173.0227,3
2024-03-26_11-41-38,-31.48606,0.4300749,179.009,3
2024-03-26_11-41-39,-31.22434,-1.34131,146.3109,3
2024-03-26_11-41-40,-31.33871,-1.501643,204.0484,3
2024-03-26_11-41-41,-31.63602,-3.933943,200.4928,3
2024-03-26_11-41-42,-31.64947,-4.653583,166.0036,5
2024-03-26_11-41-43,-31.28323,-5.088518,162.0527,5
2024-03-26_11-41-44,-31.18847,-5.473245,166.3676,5
2024-03-26_11-41-45,-31.79207,-5.438121,264.623,6
2024-03-26_11-41-46,-31.97562,-5.283567,319.2365,4
2024-03-26_11-41-47,-31.99806,-5.277479,323.4962,4
2024-03-26_11-41-48,-32.2368,-4.151093,319.3185,5
2024-03-26_11-41-49,-32.66465,-1.601666,317.0435,4
2024-03-26_11-41-50,-32.71303,-1.498364,305.1376,3
2024-03-26_11-41-51,-32.85167,0.1909419,327.1097,3
2024-03-26_11-41-52,-33.1437,2.648381,320.5592,5
2024-03-26_11-41-53,-33.24063,2.631645,258.2014,6
2024-03-26_11-41-55,-33.14935,2.148366,191.5615,8
2024-03-26_11-41-56,-33.09637,0.7628019,192.3252,7
2024-03-26_11-41-57,-33.12943,-0.5663595,195.6548,6
2024-03-26_11-41-58,-33.187,-1.570181,199.0383,7
2024-03-26_11-41-59,-33.33052,-2.821361,190.187,7
2024-03-26_11-42-00,-33.23272,-4.300371,190.3746,7
2024-03-26_11-42-01,-33.16557,-6.616017,197.1709,7
2024-03-26_11-42-02,-33.19844,-8.437598,198.9236,8
2024-03-26_11-42-03,-33.27913,-9.913645,199.8501,8
2024-03-26_11-42-04,-33.46068,-10.998,204.1304,9
2024-03-26_11-42-05,-33.50819,-10.9867,245.0401,9
2024-03-26_11-42-06,-33.46467,-11.02466,209.6339,7
2024-03-26_11-42-07,-33.21958,-10.92317,121.2822,7
2024-03-26_11-42-08,-32.47769,-10.57311,0.2261063,7
2024-03-26_11-42-09,-32.03799,-9.838043,344.7488,7
2024-03-26_11-42-10,-32.05488,-9.840263,348.9874,7
2024-03-26_11-42-11,-32.07182,-9.85269,356.1913,7
2024-03-26_11-42-12,-32.07059,-9.853397,355.5837,7
2024-03-26_11-42-13,-32.07001,-9.856672,353.4204,7
2024-03-26_11-42-14,-32.06944,-9.849771,358.8256,8
2024-03-26_11-42-15,-31.97152,-9.717312,357.8277,8
2024-03-26_11-42-16,-29.92465,-8.070127,123.079,8
2024-03-26_11-42-17,-29.86009,-8.118318,161.628,8
2024-03-26_11-42-18,-29.67816,-8.22657,160.0049,10
2024-03-26_11-42-19,-28.80701,-9.100706,162.7516,8
2024-03-26_11-42-20,-27.72361,-10.26076,160.0749,7
2024-03-26_11-42-21,-27.14468,-10.64796,147.712,7
2024-03-26_11-42-22,-26.13335,-11.95425,139.139,10
2024-03-26_11-42-23,-26.1514,-11.96806,127.2308,11
2024-03-26_11-42-24,-26.07746,-11.93602,123.5302,11
2024-03-26_11-42-25,-24.97089,-12.4484,123.1705,9
2024-03-26_11-42-26,-21.70598,-12.4209,116.8106,10
2024-03-26_11-42-27,-19.08413,-12.39555,121.4658,11
2024-03-26_11-42-28,-16.48655,-12.37158,115.9819,10
2024-03-26_11-42-29,-13.93788,-12.34331,358.4706,6
2024-03-26_11-42-30,-13.81583,-12.34637,340.2042,5
2024-03-26_11-42-31,-13.8011,-12.3467,350.3807,4
2024-03-26_11-42-32,-13.80222,-12.34708,347.9891,5
2024-03-26_11-42-33,-13.79778,-12.34496,341.7824,5
