2024-03-27_11-30-57_remote-1spatial maze.txt,id1=12,id2=21,3:46:28,WRONG MODE FAILURE
2024-03-27_11-33-26,-30.65651,-8.604391,51.83076,3
2024-03-27_11-33-27,-30.67043,-8.669871,51.43063,3
2024-03-27_11-33-27,-30.68216,-8.689942,51.94825,3
2024-03-27_11-33-28,-30.89518,-8.830494,68.81058,3
2024-03-27_11-33-28,-32.81181,-10.35909,350.3324,3
2024-03-27_11-33-29,-35.19852,-11.55976,3.391101,4
2024-03-27_11-33-29,-38.74123,-9.906467,18.89886,5
2024-03-27_11-33-30,-39.2064,-7.387161,11.12575,4
2024-03-27_11-33-30,-39.4851,-7.126848,7.468183,3
2024-03-27_11-33-31,-39.52607,-7.039534,16.29963,3
2024-03-27_11-33-31,-40.30684,-6.508403,11.17968,3
2024-03-27_11-33-32,-41.67741,-4.89173,28.70825,3
2024-03-27_11-33-32,-42.65777,-4.213785,359.9572,3
2024-03-27_11-33-33,-43.96367,-4.224617,1.346912,3
2024-03-27_11-33-33,-43.83904,-4.377356,359.547,3
2024-03-27_11-33-34,-43.8601,-4.80063,2.620882,3
2024-03-27_11-33-34,-43.72662,-4.669918,19.9526,3
2024-03-27_11-33-35,-43.79055,-3.770155,20.95816,3
2024-03-27_11-33-35,-43.95039,-3.840564,2.259234,3
2024-03-27_11-33-36,-44.76554,-3.035276,13.96422,3
2024-03-27_11-33-36,-46.05935,-3.09203,24.83022,4
2024-03-27_11-33-37,-46.51546,-5.28083,75.56508,7
2024-03-27_11-33-37,-46.60053,-6.92255,71.46864,8
2024-03-27_11-33-38,-46.58722,-7.121148,72.60927,9
2024-03-27_11-33-38,-46.758,-9.109803,76.36507,9
2024-03-27_11-33-39,-46.91597,-13.38613,70.97284,6
2024-03-27_11-33-39,-45.49092,-16.93087,53.85986,6
2024-03-27_11-33-40,-42.17918,-17.69439,43.68427,4
2024-03-27_11-33-40,-40.17568,-18.57352,60.61288,4
2024-03-27_11-33-41,-39.44915,-18.77642,63.73621,4
2024-03-27_11-33-41,-39.38994,-18.838,67.74553,4
2024-03-27_11-33-42,-37.95012,-19.45466,56.57531,4
2024-03-27_11-33-42,-35.9867,-20.8393,52.94643,4
2024-03-27_11-33-43,-34.61493,-21.10859,36.85448,4
2024-03-27_11-33-43,-33.31396,-20.02553,24.6874,4
2024-03-27_11-33-44,-32.62741,-19.38136,47.40301,4
2024-03-27_11-33-44,-32.03408,-19.40189,51.18958,4
2024-03-27_11-33-45,-30.9422,-18.95461,42.66697,5
2024-03-27_11-33-45,-30.09228,-18.42985,54.20084,4
2024-03-27_11-33-46,-29.7222,-18.7214,62.44109,4
2024-03-27_11-33-46,-28.82677,-18.77815,64.42868,6
2024-03-27_11-33-47,-28.22831,-19.39397,55.89137,3
2024-03-27_11-33-47,-27.0344,-20.04995,53.08861,5
2024-03-27_11-33-48,-26.35575,-20.71572,58.12006,5
2024-03-27_11-33-48,-25.9915,-20.75562,50.46714,5
2024-03-27_11-33-49,-25.53617,-21.32285,51.85704,5
2024-03-27_11-33-49,-22.0583,-22.23433,44.73875,5
2024-03-27_11-33-50,-18.88281,-22.49997,46.07636,5
2024-03-27_11-33-50,-14.19578,-22.88932,39.61268,5
2024-03-27_11-33-51,-10.18473,-23.36259,44.69039,6
2024-03-27_11-33-51,-5.576421,-23.63842,46.89812,5
2024-03-27_11-33-52,-3.351868,-23.97818,72.96427,1
2024-03-27_11-33-52,-2.064698,-25.23037,60.55534,1
2024-03-27_11-33-53,1.530636,-27.21818,44.39608,1
2024-03-27_11-33-53,5.099341,-27.48649,42.90107,3
2024-03-27_11-33-54,7.999935,-27.22496,39.46115,2
2024-03-27_11-33-54,10.56291,-26.13086,37.13139,2
2024-03-27_11-33-55,12.59937,-25.92239,17.58665,3
2024-03-27_11-33-55,11.97865,-24.86036,17.43758,3
2024-03-27_11-33-56,11.08978,-23.51431,15.28273,3
2024-03-27_11-33-56,11.007,-23.40325,16.14529,3
2024-03-27_11-33-57,10.98882,-23.36396,17.71388,4
2024-03-27_11-33-57,10.98345,-23.35644,18.82993,4
2024-03-27_11-33-58,10.98613,-23.35905,20.45506,4
2024-03-27_11-33-58,10.98636,-23.37099,21.7506,4
2024-03-27_11-33-59,11.02522,-23.37237,23.34766,3
2024-03-27_11-33-59,11.05585,-23.34682,24.00016,2
2024-03-27_11-34-00,11.11563,-21.52208,26.41572,2
2024-03-27_11-34-00,11.12667,-21.13607,24.92517,2
2024-03-27_11-34-01,11.12108,-21.12656,25.43884,2
2024-03-27_11-34-01,11.17198,-21.09145,27.56381,2
2024-03-27_11-34-02,11.61952,-20.15953,27.12138,2
2024-03-27_11-34-02,11.66504,-19.98468,25.81452,2
2024-03-27_11-34-03,11.70411,-18.27399,25.57651,2
2024-03-27_11-34-03,11.70761,-18.02773,24.67158,2
2024-03-27_11-34-04,11.7005,-18.00619,25.26891,3
2024-03-27_11-34-04,11.74337,-17.97478,27.81303,3
2024-03-27_11-34-05,11.9668,-17.05391,28.51885,3
2024-03-27_11-34-05,12.48366,-14.97934,30.81757,4
2024-03-27_11-34-06,13.27838,-12.76957,31.73952,3
2024-03-27_11-34-06,13.44483,-12.34514,30.0733,3
2024-03-27_11-34-07,13.37514,-11.92441,26.59584,3
2024-03-27_11-34-07,13.69545,-9.481426,30.42277,3
2024-03-27_11-34-08,16.35224,-7.410085,49.9607,3
2024-03-27_11-34-08,21.05091,-8.212662,45.11536,5
2024-03-27_11-34-09,22.47298,-8.516831,53.13374,6
2024-03-27_11-34-09,22.62683,-8.513762,52.79449,6
2024-03-27_11-34-10,23.8516,-8.448281,50.31551,6
2024-03-27_11-34-10,25.65325,-8.538434,55.92345,6
2024-03-27_11-34-11,26.53825,-9.155649,71.91178,5
2024-03-27_11-34-11,26.76443,-10.88305,74.41911,4
2024-03-27_11-34-12,26.41085,-12.80196,80.79762,4
2024-03-27_11-34-12,26.26316,-17.07329,80.63614,5
2024-03-27_11-34-13,24.26382,-18.55786,3.064536,4
2024-03-27_11-34-13,22.47333,-17.03534,17.43718,4
2024-03-27_11-34-14,22.08862,-16.32806,19.31235,3
2024-03-27_11-34-14,21.2537,-14.40486,9.183227,3
2024-03-27_11-34-15,21.12517,-14.22737,355.9502,3
2024-03-27_11-34-15,21.04935,-14.21954,0.4709409,3
2024-03-27_11-34-16,20.94918,-12.96201,23.0424,3
2024-03-27_11-34-16,20.31437,-12.29366,359.0222,5
2024-03-27_11-34-17,18.08152,-13.60911,33.00759,7
2024-03-27_11-34-17,17.58303,-15.80711,75.54547,5
2024-03-27_11-34-18,17.58712,-16.10476,74.59799,6
2024-03-27_11-34-18,17.44835,-19.08306,76.01064,6
2024-03-27_11-34-19,17.41616,-19.56191,75.41014,6
2024-03-27_11-34-20,17.43304,-19.629,71.49068,6
2024-03-27_11-34-20,18.00245,-21.64605,70.75311,5
2024-03-27_11-34-21,18.31051,-22.98201,71.18793,4
2024-03-27_11-34-21,18.40623,-23.36085,70.35622,6
2024-03-27_11-34-22,18.4188,-23.41642,70.01981,7
2024-03-27_11-34-22,18.68992,-24.58415,70.45589,5
2024-03-27_11-34-23,18.90361,-26.45851,66.26083,5
2024-03-27_11-34-23,20.47897,-27.55267,46.77943,5
2024-03-27_11-34-24,21.24759,-28.20015,74.76186,5
2024-03-27_11-34-24,21.06602,-29.10675,69.91833,5
2024-03-27_11-34-25,21.54799,-31.38977,67.79598,6
2024-03-27_11-34-25,21.22146,-33.72417,22.81123,5
2024-03-27_11-34-26,20.09044,-33.56676,2.579188,5
2024-03-27_11-34-26,19.64566,-33.46996,1.192985,5
2024-03-27_11-34-27,17.85355,-33.27959,0.2199961,6
2024-03-27_11-34-27,17.53912,-33.25515,2.48107,6
2024-03-27_11-34-28,17.55316,-33.17564,7.340896,6
2024-03-27_11-34-28,17.56592,-33.151,12.25806,5
2024-03-27_11-34-29,17.55894,-33.25929,359.6119,5
2024-03-27_11-34-29,17.54753,-33.25251,359.3017,5
2024-03-27_11-34-30,16.73188,-33.22034,2.777705,6
2024-03-27_11-34-30,16.66405,-33.21619,358.3417,6
2024-03-27_11-34-31,16.65338,-33.22123,0.6970931,6
2024-03-27_11-34-31,16.6419,-33.22592,3.207266,6
2024-03-27_11-34-32,16.63967,-33.23417,2.312292,6
2024-03-27_11-34-32,16.60895,-33.21294,359.8948,6
2024-03-27_11-34-33,16.20403,-33.16002,0.7554435,6
2024-03-27_11-34-33,16.1119,-33.19065,2.98139,6
2024-03-27_11-34-34,16.1378,-33.16269,3.59124,7
2024-03-27_11-34-34,16.35142,-33.09685,26.37841,7
2024-03-27_11-34-35,16.44762,-33.11247,43.29779,7
2024-03-27_11-34-35,17.40778,-32.82088,43.25011,6
2024-03-27_11-34-36,20.82905,-32.05141,38.67989,6
2024-03-27_11-34-36,22.29869,-31.04878,20.86278,5
2024-03-27_11-34-37,22.34449,-30.64454,13.38807,6
2024-03-27_11-34-37,22.23763,-30.37845,11.11768,6
2024-03-27_11-34-38,21.26829,-29.24185,14.55703,6
2024-03-27_11-34-38,20.60491,-27.78691,14.51455,7
2024-03-27_11-34-39,19.68761,-26.4634,16.81074,8
2024-03-27_11-34-39,19.26215,-25.95018,16.60628,8
2024-03-27_11-34-40,19.11371,-25.86862,19.20962,8
2024-03-27_11-34-40,18.91467,-25.74486,18.32187,8
2024-03-27_11-34-41,18.3785,-24.44636,24.0368,10
2024-03-27_11-34-41,17.99865,-21.97104,27.33646,9
2024-03-27_11-34-42,18.07845,-20.94226,27.00765,9
2024-03-27_11-34-42,18.13307,-19.33407,27.06887,9
2024-03-27_11-34-43,18.53073,-15.65681,32.55865,6
2024-03-27_11-34-43,18.96147,-13.40649,42.94952,6
2024-03-27_11-34-44,21.34279,-12.99285,54.19471,5
2024-03-27_11-34-44,21.88158,-13.2314,60.12923,4
2024-03-27_11-34-45,22.64493,-14.50033,64.45554,4
2024-03-27_11-34-45,23.97447,-16.88157,53.83839,4
2024-03-27_11-34-46,25.51436,-16.66938,33.4436,4
2024-03-27_11-34-46,26.49806,-15.57571,27.32574,5
2024-03-27_11-34-47,27.27879,-12.01588,26.37376,3
2024-03-27_11-34-47,27.00736,-10.69839,13.72037,3
2024-03-27_11-34-48,26.18781,-9.52783,6.850721,2
2024-03-27_11-34-48,26.00239,-8.693746,359.8095,2
2024-03-27_11-34-49,25.76683,-8.470951,358.7884,2
2024-03-27_11-34-49,24.77025,-8.323484,0.6066627,2
2024-03-27_11-34-50,24.44281,-8.263345,359.1861,4
2024-03-27_11-34-50,24.44379,-8.269272,359.451,4
2024-03-27_11-34-51,24.4511,-8.261704,1.260298,6
2024-03-27_11-34-51,24.1725,-8.309267,357.9429,6
2024-03-27_11-34-52,22.40083,-8.184506,3.127582,4
2024-03-27_11-34-52,18.58541,-7.690523,358.5934,4
2024-03-27_11-34-53,16.03898,-7.72009,357.6591,4
2024-03-27_11-34-53,13.4563,-8.789977,349.2556,5
2024-03-27_11-34-54,12.93799,-9.845611,73.53651,3
2024-03-27_11-34-54,12.37875,-10.9014,76.97653,4
2024-03-27_11-34-55,12.01933,-12.00547,76.56883,4
2024-03-27_11-34-55,11.91674,-12.76081,73.92878,5
2024-03-27_11-34-56,11.76807,-14.18306,74.59008,4
2024-03-27_11-34-56,11.50195,-16.8483,75.42443,4
2024-03-27_11-34-57,11.28847,-18.9232,77.68032,5
2024-03-27_11-34-57,11.27692,-20.89993,80.52927,5
2024-03-27_11-34-58,11.08919,-21.82133,8.154746,5
2024-03-27_11-34-58,11.07845,-22.00141,353.9156,5
2024-03-27_11-34-59,11.13487,-22.03573,68.96866,5
2024-03-27_11-34-59,11.1511,-22.08622,78.2574,5
2024-03-27_11-35-00,11.13524,-23.84237,77.9287,5
2024-03-27_11-35-00,11.34859,-25.90556,68.563,5
2024-03-27_11-35-01,9.461679,-26.82322,356.0939,5
2024-03-27_11-35-01,8.157549,-26.94044,358.9967,6
2024-03-27_11-35-02,8.043556,-27.02136,358.7574,6
2024-03-27_11-35-02,7.979178,-27.04049,357.8959,6
2024-03-27_11-35-03,6.549009,-27.05536,358.7921,6
2024-03-27_11-35-03,5.117566,-27.02397,358.3127,6
2024-03-27_11-35-04,4.424014,-26.9231,359.6811,6
2024-03-27_11-35-04,3.997189,-26.88272,357.2712,6
2024-03-27_11-35-05,2.11989,-26.88035,358.5866,7
2024-03-27_11-35-05,0.1942687,-26.36048,1.140976,7
2024-03-27_11-35-06,-0.4259986,-26.13423,15.40368,7
2024-03-27_11-35-06,-0.8264346,-26.08888,16.17411,8
2024-03-27_11-35-07,-1.868853,-25.62155,0.2067742,9
2024-03-27_11-35-07,-3.038446,-24.58559,16.4233,8
2024-03-27_11-35-08,-4.299179,-23.34856,1.714318,8
2024-03-27_11-35-08,-5.265632,-23.0669,357.49,8
2024-03-27_11-35-09,-7.123689,-23.13359,357.6573,9
2024-03-27_11-35-09,-8.836129,-23.09086,359.0347,10
2024-03-27_11-35-10,-11.31006,-23.05209,0.6244745,10
2024-03-27_11-35-10,-12.56054,-22.96306,1.057408,10
2024-03-27_11-35-11,-14.51909,-22.84402,0.8121055,10
2024-03-27_11-35-11,-15.24122,-22.90232,0.6870232,10
2024-03-27_11-35-12,-18.31494,-22.71108,359.7918,8
2024-03-27_11-35-13,-22.57418,-22.35602,0.6744024,8
2024-03-27_11-35-13,-23.99619,-21.99079,9.624539,8
2024-03-27_11-35-14,-24.11158,-21.95366,10.51439,8
2024-03-27_11-35-14,-24.29225,-22.05454,6.131212,8
2024-03-27_11-35-15,-24.39378,-22.06629,2.745415,8
2024-03-27_11-35-15,-25.66389,-21.633,4.878828,8
2024-03-27_11-35-16,-26.11629,-21.23314,21.71141,10
2024-03-27_11-35-16,-26.48218,-20.98939,13.09422,10
2024-03-27_11-35-17,-27.58338,-20.14194,9.547328,12
2024-03-27_11-35-17,-28.82113,-19.58162,5.06878,10
2024-03-27_11-35-18,-28.82178,-19.13342,0.5292397,11
2024-03-27_11-35-18,-28.96851,-18.90141,0.4516854,11
2024-03-27_11-35-19,-29.08812,-18.86946,0.2837961,11
2024-03-27_11-35-19,-30.10747,-18.28842,5.142943,11
2024-03-27_11-35-20,-31.58175,-18.18313,24.89553,10
2024-03-27_11-35-20,-31.91162,-18.83747,72.09547,10
2024-03-27_11-35-21,-32.40796,-19.95142,75.7877,12
2024-03-27_11-35-21,-32.81431,-20.73732,36.53907,12
2024-03-27_11-35-22,-33.455,-21.53405,359.4716,12
2024-03-27_11-35-22,-34.34112,-21.53006,4.514326,13
2024-03-27_11-35-23,-34.44208,-21.54209,3.012464,13
2024-03-27_11-35-23,-34.45683,-21.5693,4.621118,12
2024-03-27_11-35-24,-34.51741,-21.6137,4.611491,12
2024-03-27_11-35-24,-35.34879,-21.48593,3.471853,12
2024-03-27_11-35-25,-36.74643,-21.08079,13.78257,12
2024-03-27_11-35-25,-37.15506,-20.55104,20.53811,8
2024-03-27_11-35-26,-37.20052,-20.51685,20.43225,8
2024-03-27_11-35-26,-37.2546,-20.51387,19.34907,8
2024-03-27_11-35-27,-37.32224,-20.41199,20.52797,9
2024-03-27_11-35-27,-37.75394,-19.47566,18.54286,12
2024-03-27_11-35-28,-38.51059,-18.66855,8.605031,12
2024-03-27_11-35-28,-39.55715,-18.41678,3.920581,12
2024-03-27_11-35-29,-40.52639,-18.15678,19.01719,13
2024-03-27_11-35-29,-40.58507,-18.13483,20.93292,12
2024-03-27_11-35-30,-40.60743,-18.13499,19.54314,11
2024-03-27_11-35-30,-40.72333,-18.14219,15.4085,13
2024-03-27_11-35-31,-41.76186,-17.49112,5.421835,10
2024-03-27_11-35-31,-43.38904,-17.22267,3.373123,10
2024-03-27_11-35-32,-45.33138,-16.87665,12.31928,9
2024-03-27_11-35-32,-45.62985,-16.70564,23.99324,9
2024-03-27_11-35-33,-45.72319,-16.70331,23.08185,10
2024-03-27_11-35-33,-45.73864,-16.70404,20.85501,10
2024-03-27_11-35-34,-45.90383,-16.19119,19.34699,10
2024-03-27_11-35-34,-46.26144,-15.50383,23.1508,10
2024-03-27_11-35-35,-46.40269,-14.48147,24.70657,17
2024-03-27_11-35-35,-46.45395,-13.21805,24.24653,11
2024-03-27_11-35-36,-46.52509,-11.05599,26.27035,11
2024-03-27_11-35-36,-46.56314,-8.317643,27.83688,13
2024-03-27_11-35-37,-46.43352,-7.24766,26.36704,13
2024-03-27_11-35-37,-46.43746,-7.088735,26.90437,13
2024-03-27_11-35-38,-46.31956,-5.493147,25.60299,13
2024-03-27_11-35-38,-46.16963,-4.05305,35.64118,14
2024-03-27_11-35-39,-46.00951,-3.720748,44.15003,15
2024-03-27_11-35-39,-44.85619,-3.512299,54.43413,14
2024-03-27_11-35-40,-43.78418,-3.614015,60.28964,14
2024-03-27_11-35-40,-43.43748,-3.966078,62.8761,14
2024-03-27_11-35-41,-42.65364,-5.158133,63.96101,13
2024-03-27_11-35-41,-41.99279,-5.782472,55.93803,11
2024-03-27_11-35-42,-41.38369,-6.220183,57.13457,11
2024-03-27_11-35-42,-40.36723,-7.076954,58.98454,12
2024-03-27_11-35-43,-39.79636,-7.677076,60.26301,13
2024-03-27_11-35-43,-39.73167,-7.684597,58.93554,13
2024-03-27_11-35-44,-39.73386,-7.678651,59.47379,12
2024-03-27_11-35-44,-39.70009,-7.711445,59.8656,12
2024-03-27_11-35-45,-39.67798,-7.741972,59.43174,13
2024-03-27_11-35-45,-39.56472,-7.918901,60.51232,13
2024-03-27_11-35-46,-39.1211,-8.490116,62.18006,12
2024-03-27_11-35-46,-38.62806,-9.079298,60.01889,13
2024-03-27_11-35-47,-38.55643,-9.167045,59.24056,13
2024-03-27_11-35-47,-38.13977,-9.498816,57.79757,12
2024-03-27_11-35-48,-37.55033,-10.05405,58.4459,10
2024-03-27_11-35-48,-36.1933,-11.19774,53.94732,9
2024-03-27_11-35-49,-34.97868,-11.80391,40.87622,9
2024-03-27_11-35-49,-34.85844,-11.74928,31.96914,9
2024-03-27_11-35-50,-34.32926,-11.35422,36.50982,9
2024-03-27_11-35-50,-34.19397,-11.02505,28.39952,9
2024-03-27_11-35-51,-33.93695,-11.12583,34.56606,9
2024-03-27_11-35-51,-32.69247,-10.59584,41.76182,9
2024-03-27_11-35-52,-32.48644,-10.41619,34.84933,9
2024-03-27_11-35-52,-32.49363,-10.33199,32.82286,9
2024-03-27_11-35-53,-32.00446,-9.406215,31.76664,11
