2024-03-27_13-34-58_player-2spatial maze.txt,id1=19,id2=11,04:32:25,FAILURE
2024-03-27_13-36-20,8.195808,20.96934,275.5017,7
2024-03-27_13-36-21,7.066591,20.29653,279.9736,7
2024-03-27_13-36-21,6.00968,19.38125,277.2295,4
2024-03-27_13-36-22,5.400238,18.57573,281.5828,4
2024-03-27_13-36-22,4.313933,18.16228,286.4615,4
2024-03-27_13-36-23,2.786986,17.65681,285.5814,4
2024-03-27_13-36-23,1.078072,17.01926,280.3151,4
2024-03-27_13-36-24,-0.4767003,16.23719,271.9291,4
2024-03-27_13-36-24,-1.77442,15.80486,269.0254,3
2024-03-27_13-36-25,-2.67232,14.94052,256.181,4
2024-03-27_13-36-25,-3.293894,13.81015,182.8408,4
2024-03-27_13-36-26,-3.456341,12.57586,139.4715,4
2024-03-27_13-36-26,-3.442113,11.33746,136.9462,4
2024-03-27_13-36-27,-3.349953,11.16692,136.8627,4
2024-03-27_13-36-27,-3.192551,11.12228,119.9409,4
2024-03-27_13-36-28,-2.543063,11.12316,108.3296,4
2024-03-27_13-36-28,-1.98085,11.16193,91.56467,4
2024-03-27_13-36-29,-1.793556,11.15199,92.17007,4
2024-03-27_13-36-29,-1.722241,11.15852,91.05546,4
2024-03-27_13-36-30,-1.221537,11.18646,82.36592,4
2024-03-27_13-36-30,-0.04262874,11.16629,83.11289,4
2024-03-27_13-36-31,0.9463295,11.1613,83.81943,5
2024-03-27_13-36-31,2.148174,11.15135,83.41337,5
2024-03-27_13-36-32,3.204065,11.15886,86.20361,5
2024-03-27_13-36-32,4.450567,11.1395,91.75021,4
2024-03-27_13-36-33,5.625475,11.091,114.4574,3
2024-03-27_13-36-33,6.131688,10.65525,135.0959,3
2024-03-27_13-36-34,6.291189,10.07025,169.0176,5
2024-03-27_13-36-34,6.161174,9.669159,251.8646,6
2024-03-27_13-36-35,6.160729,9.193982,200.7073,6
2024-03-27_13-36-35,6.166812,8.731813,139.7862,5
2024-03-27_13-36-36,6.276464,7.617276,133.8563,4
2024-03-27_13-36-36,6.366604,6.50345,137.2337,4
2024-03-27_13-36-37,6.21315,5.228972,174.8558,5
2024-03-27_13-36-37,6.148458,4.537133,249.8447,5
2024-03-27_13-36-38,6.124995,4.399733,262.3051,5
2024-03-27_13-36-38,6.076446,4.41401,276.1687,5
2024-03-27_13-36-39,6.105863,4.377819,264.053,5
2024-03-27_13-36-39,6.162142,4.039924,169.7769,5
2024-03-27_13-36-40,6.401322,3.342025,122.6433,5
2024-03-27_13-36-40,6.993824,2.090571,118.8899,5
2024-03-27_13-36-41,7.498777,1.101817,117.088,5
